qid,docno,label,stance
103,7721,1,pro
103,7658,1,pro
103,7708,1,pro
103,7729,1,pro
103,7701,1,pro
103,7684,1,pro
103,7703,1,pro
103,7618,1,pro
103,7619,1,pro
103,7657,1,pro
103,7662,1,pro
103,7733,1,pro
103,7741,1,pro
103,7656,1,pro
103,7710,1,pro
103,7737,1,pro
103,7704,1,pro
103,7726,1,pro
103,7719,1,pro
103,7675,1,pro
103,7718,1,pro
103,7711,1,pro
103,7622,1,pro
103,7725,1,pro
103,7712,1,pro
103,7676,1,pro
103,7720,1,pro
103,7728,1,pro
103,7740,1,pro
103,7621,1,pro
103,7727,1,pro
103,7747,1,pro
103,7770,1,con
103,7732,1,con
103,7705,1,con
103,7763,1,con
103,7630,1,con
103,7634,1,con
103,7771,1,con
103,7736,1,con
103,7631,1,con
103,7706,1,con
103,7699,1,con
103,7724,1,con
103,7764,1,con
103,7772,1,con
103,7669,1,con
103,7762,1,con
103,7628,1,con
103,7742,1,con
103,7629,1,con
103,7773,1,con
103,7713,1,con
103,7664,1,con
103,7735,1,con
103,7734,1,con
103,7633,1,con
103,7760,1,con
103,6623,0,
103,1225,0,
103,11516,0,
103,11488,0,
103,11493,0,
103,11487,0,
103,11434,0,
103,11492,0,
103,1205,0,
103,11548,0,
103,1227,0,
103,1213,0,
103,6777,0,
103,11471,0,
103,6595,0,
103,11468,0,
103,11629,0,
103,11497,0,
103,6812,0,
103,6839,0,
103,6601,0,
103,11551,0,
103,11631,0,
103,1207,0,
103,11458,0,
103,11446,0,
103,11462,0,
103,6794,0,
103,1221,0,
103,11589,0,
103,11449,0,
103,11514,0,
103,6788,0,
103,6602,0,
103,6853,0,
103,6600,0,
103,11485,0,
103,11445,0,
103,11479,0,
103,11590,0,
103,11427,0,
103,6811,0,
103,6829,0,
103,6817,0,
103,1210,0,
103,1231,0,
103,11542,0,
103,6617,0,
103,6835,0,
103,6604,0,
103,11431,0,
103,6819,0,
103,11541,0,
103,1232,0,
103,11511,0,
103,6619,0,
103,6822,0,
103,6625,0,
96,1327,1,pro
96,1324,1,pro
96,1325,1,pro
96,1328,1,pro
96,1322,1,pro
96,1330,1,pro
96,1309,1,pro
96,1323,1,pro
96,1320,1,pro
96,1321,1,pro
96,1326,1,pro
96,1331,1,pro
96,1332,1,con
96,1334,1,con
96,1337,1,con
96,1343,1,con
96,1346,1,con
96,1348,1,con
96,1342,1,con
96,1338,1,con
96,1345,1,con
96,1336,1,con
96,1339,1,con
96,1340,1,con
96,1341,1,con
96,1347,1,con
96,1307,1,con
96,1335,1,con
96,1344,1,con
96,1333,1,con
96,7201,0,
96,6415,0,
96,7951,0,
96,8556,0,
96,7953,0,
96,7959,0,
96,8563,0,
96,7978,0,
96,6388,0,
96,6391,0,
96,7219,0,
96,7952,0,
96,7977,0,
96,6393,0,
96,7979,0,
96,7178,0,
96,7964,0,
96,7967,0,
96,7956,0,
96,7220,0,
96,7190,0,
96,7953,0,
96,8575,0,
96,6389,0,
96,6390,0,
96,8568,0,
96,7961,0,
96,8566,0,
96,7200,0,
96,7177,0,
65,7956,1,pro
65,7959,1,pro
65,7952,1,pro
65,7955,1,pro
65,7979,1,pro
65,7958,1,pro
65,7975,1,pro
65,7954,1,pro
65,7957,1,pro
65,7953,1,pro
65,7951,1,pro
65,7966,1,con
65,7963,1,con
65,7971,1,con
65,7964,1,con
65,7967,1,con
65,7953,1,con
65,7977,1,con
65,7968,1,con
65,7961,1,con
65,7950,1,con
65,7978,1,con
65,7974,1,con
65,7960,1,con
65,7965,1,con
65,7970,1,con
65,7972,1,con
65,4878,0,
65,11488,0,
65,1505,0,
65,6603,0,
65,8950,0,
65,4888,0,
65,11599,0,
65,11464,0,
65,11591,0,
65,6624,0,
65,8960,0,
65,1504,0,
65,11492,0,
65,11513,0,
65,11589,0,
65,8943,0,
65,11543,0,
65,11531,0,
65,6619,0,
65,11550,0,
65,1496,0,
65,11453,0,
65,11630,0,
65,11536,0,
65,1485,0,
65,4875,0,
65,1491,0,
83,1487,1,pro
83,1488,1,pro
83,1493,1,pro
83,1490,1,pro
83,1492,1,pro
83,1483,1,pro
83,1486,1,pro
83,1489,1,pro
83,1485,1,pro
83,1477,1,pro
83,1491,1,pro
83,1482,1,pro
83,1497,1,con
83,1502,1,con
83,1495,1,con
83,1504,1,con
83,1498,1,con
83,1499,1,con
83,1505,1,con
83,1506,1,con
83,1500,1,con
83,1477,1,con
83,1494,1,con
83,1496,1,con
83,1501,1,con
83,1503,1,con
83,907,0,
83,6671,0,
83,6825,0,
83,6714,0,
83,6662,0,
83,6656,0,
83,6846,0,
83,6836,0,
83,6851,0,
83,917,0,
83,6695,0,
83,6826,0,
83,6667,0,
83,953,0,
83,922,0,
83,6833,0,
83,6751,0,
83,6834,0,
83,6821,0,
83,6828,0,
83,920,0,
83,6677,0,
83,6681,0,
83,6748,0,
83,6839,0,
83,6743,0,
22,9633,1,pro
22,9538,1,pro
22,9542,1,pro
22,9556,1,pro
22,9547,1,pro
22,9546,1,pro
22,9549,1,pro
22,9543,1,pro
22,9653,1,pro
22,9649,1,pro
22,9535,1,pro
22,9539,1,pro
22,9631,1,pro
22,9548,1,pro
22,9628,1,pro
22,9558,1,pro
22,9555,1,pro
22,9655,1,pro
22,9540,1,pro
22,9557,1,pro
22,9560,1,pro
22,9534,1,pro
22,9552,1,pro
22,9554,1,pro
22,9632,1,pro
22,9559,1,pro
22,9550,1,pro
22,9647,1,pro
22,9545,1,pro
22,9582,1,con
22,9570,1,con
22,9644,1,con
22,9566,1,con
22,9650,1,con
22,9571,1,con
22,9596,1,con
22,9569,1,con
22,9565,1,con
22,9567,1,con
22,9563,1,con
22,9564,1,con
22,9648,1,con
22,9589,1,con
22,9584,1,con
22,9568,1,con
22,9656,1,con
22,9591,1,con
22,9535,1,con
22,9661,1,con
22,9638,1,con
22,9581,1,con
22,9660,1,con
22,9628,1,con
22,9587,1,con
22,9585,1,con
22,9579,1,con
22,9552,1,con
22,9634,1,con
22,9588,1,con
22,9640,1,con
22,9597,1,con
22,9578,1,con
22,9590,1,con
22,9580,1,con
22,9586,1,con
22,9533,1,con
22,9595,1,con
22,9639,1,con
22,9592,1,con
22,10051,0,
22,10164,0,
22,6533,0,
22,6522,0,
22,6570,0,
22,10096,0,
22,10048,0,
22,6558,0,
22,6523,0,
22,6506,0,
22,3334,0,
22,10161,0,
22,6516,0,
22,8555,0,
22,3333,0,
22,10053,0,
22,6571,0,
22,3305,0,
22,6553,0,
22,6503,0,
22,10082,0,
22,6519,0,
22,3320,0,
22,10147,0,
22,6567,0,
22,6552,0,
22,6551,0,
22,3306,0,
22,6565,0,
22,10172,0,
22,6521,0,
22,6505,0,
22,3317,0,
22,6534,0,
22,10159,0,
22,10064,0,
22,10088,0,
22,3326,0,
22,3332,0,
22,10079,0,
22,10077,0,
22,6528,0,
22,6493,0,
22,3304,0,
22,6560,0,
22,10169,0,
22,6514,0,
22,8562,0,
22,6556,0,
22,6559,0,
22,10158,0,
22,10061,0,
22,6576,0,
22,10171,0,
22,6519,0,
22,8558,0,
22,6530,0,
22,10089,0,
22,6499,0,
22,8570,0,
22,6535,0,
22,10050,0,
22,6496,0,
22,8576,0,
22,8564,0,
22,8560,0,
22,8566,0,
22,6497,0,
22,10106,0,
60,11122,1,pro
60,11119,1,pro
60,11116,1,pro
60,11126,1,pro
60,11118,1,pro
60,11123,1,pro
60,11124,1,pro
60,11125,1,pro
60,11127,1,pro
60,11114,1,pro
60,11120,1,pro
60,11115,1,pro
60,11121,1,pro
60,11117,1,pro
60,11140,1,con
60,11129,1,con
60,11133,1,con
60,11134,1,con
60,11139,1,con
60,11130,1,con
60,11128,1,con
60,11142,1,con
60,11132,1,con
60,11141,1,con
60,11136,1,con
60,11138,1,con
60,11143,1,con
60,11145,1,con
60,11135,1,con
60,11131,1,con
60,11137,1,con
60,11144,1,con
60,9883,0,
60,9230,0,
60,9881,0,
60,9522,0,
60,9523,0,
60,7258,0,
60,9265,0,
60,9494,0,
60,11742,0,
60,7252,0,
60,9525,0,
60,11728,0,
60,9493,0,
60,9228,0,
60,9527,0,
60,9283,0,
60,9226,0,
60,9889,0,
60,7252,0,
60,9905,0,
60,9215,0,
60,7268,0,
60,9278,0,
60,9199,0,
60,9516,0,
60,9894,0,
60,9899,0,
60,9261,0,
60,9503,0,
60,9211,0,
60,9884,0,
60,7255,0,
84,6661,1,pro
84,6660,1,pro
84,6652,1,pro
84,6665,1,pro
84,6670,1,pro
84,6669,1,pro
84,6672,1,pro
84,6666,1,pro
84,6674,1,pro
84,6714,1,pro
84,6667,1,pro
84,6659,1,pro
84,6662,1,pro
84,6658,1,pro
84,6671,1,pro
84,6676,1,pro
84,6657,1,pro
84,6663,1,pro
84,6664,1,pro
84,6675,1,pro
84,6673,1,pro
84,6656,1,pro
84,6668,1,pro
84,6693,1,con
84,6689,1,con
84,6694,1,con
84,6652,1,con
84,6654,1,con
84,6692,1,con
84,6688,1,con
84,6690,1,con
84,6687,1,con
84,6697,1,con
84,6674,1,con
84,6698,1,con
84,6691,1,con
84,6681,1,con
84,6678,1,con
84,6676,1,con
84,6680,1,con
84,6686,1,con
84,6677,1,con
84,6682,1,con
84,6695,1,con
84,6696,1,con
84,6685,1,con
84,6656,1,con
84,5132,0,
84,4088,0,
84,10172,0,
84,4079,0,
84,8775,0,
84,10802,0,
84,4091,0,
84,5126,0,
84,10789,0,
84,10103,0,
84,4105,0,
84,10090,0,
84,10801,0,
84,10048,0,
84,8747,0,
84,4103,0,
84,10106,0,
84,10158,0,
84,8760,0,
84,4098,0,
84,10104,0,
84,10166,0,
84,10159,0,
84,10793,0,
84,4092,0,
84,10101,0,
84,4090,0,
84,10064,0,
84,5135,0,
84,4086,0,
84,5143,0,
84,10799,0,
84,5134,0,
84,4093,0,
84,10805,0,
84,10085,0,
84,4087,0,
84,10824,0,
84,10828,0,
84,10105,0,
84,8751,0,
84,10156,0,
84,4104,0,
84,8770,0,
84,4102,0,
84,8767,0,
84,10088,0,
24,9472,1,pro
24,9476,1,pro
24,9477,1,pro
24,9473,1,pro
24,9471,1,pro
24,9433,1,pro
24,9475,1,pro
24,9436,1,pro
24,9435,1,pro
24,9470,1,pro
24,9479,1,pro
24,9439,1,pro
24,9434,1,pro
24,9478,1,pro
24,9474,1,pro
24,9480,1,pro
24,9451,1,con
24,9441,1,con
24,9444,1,con
24,9456,1,con
24,9484,1,con
24,9439,1,con
24,9431,1,con
24,9443,1,con
24,9448,1,con
24,9450,1,con
24,9453,1,con
24,9482,1,con
24,9452,1,con
24,9449,1,con
24,9483,1,con
24,9445,1,con
24,9481,1,con
24,9440,1,con
24,11513,0,
24,11550,0,
24,7966,0,
24,6556,0,
24,4683,0,
24,6507,0,
24,9558,0,
24,7958,0,
24,11471,0,
24,6566,0,
24,9660,0,
24,11434,0,
24,9584,0,
24,11442,0,
24,11472,0,
24,7959,0,
24,6563,0,
24,4689,0,
24,6570,0,
24,11462,0,
24,11492,0,
24,9582,0,
24,6519,0,
24,11480,0,
24,11532,0,
24,6506,0,
24,9639,0,
24,4688,0,
24,11477,0,
24,4692,0,
24,9543,0,
24,11455,0,
24,11593,0,
24,4686,0,
132,1784,1,pro
132,1777,1,pro
132,1775,1,pro
132,1788,1,pro
132,1782,1,pro
132,1762,1,pro
132,1787,1,pro
132,1783,1,pro
132,1785,1,pro
132,1801,1,con
132,1789,1,con
132,1798,1,con
132,1795,1,con
132,1780,1,con
132,1790,1,con
132,1797,1,con
132,1802,1,con
132,1792,1,con
132,1803,1,con
132,1793,1,con
132,1799,1,con
132,1804,1,con
132,1794,1,con
132,1800,1,con
132,1796,1,con
132,6560,0,
132,7152,0,
132,4831,0,
132,6567,0,
132,4860,0,
132,6552,0,
132,6531,0,
132,6506,0,
132,4822,0,
132,7139,0,
132,6524,0,
132,6530,0,
132,7149,0,
132,6565,0,
132,6500,0,
132,6523,0,
132,7144,0,
132,7143,0,
132,9885,0,
132,9895,0,
132,9899,0,
132,4854,0,
132,9876,0,
132,7164,0,
132,4816,0,
72,8956,1,pro
72,8944,1,pro
72,8953,1,pro
72,8954,1,pro
72,8957,1,pro
72,8943,1,pro
72,8958,1,pro
72,8959,1,pro
72,8945,1,pro
72,8952,1,pro
72,8950,1,pro
72,8955,1,pro
72,8960,1,pro
72,8961,1,con
72,8963,1,con
72,8966,1,con
72,8972,1,con
72,8967,1,con
72,8974,1,con
72,8965,1,con
72,8968,1,con
72,8970,1,con
72,8971,1,con
72,8964,1,con
72,8973,1,con
72,8950,1,con
72,8962,1,con
72,9932,0,
72,5126,0,
72,7764,0,
72,1762,0,
72,7197,0,
72,5133,0,
72,7200,0,
72,9955,0,
72,7720,0,
72,1802,0,
72,7734,0,
72,7190,0,
72,7633,0,
72,7718,0,
72,7179,0,
72,7703,0,
72,9938,0,
72,7684,0,
72,9957,0,
72,7631,0,
72,7657,0,
72,7735,0,
72,7634,0,
72,7189,0,
72,1787,0,
72,7705,0,
72,9956,0,
144,1929,1,pro
144,1934,1,pro
144,1956,1,pro
144,2070,1,pro
144,1935,1,pro
144,2062,1,pro
144,1953,1,pro
144,1928,1,pro
144,1927,1,pro
144,1936,1,pro
144,2068,1,pro
144,1945,1,pro
144,1947,1,pro
144,1926,1,pro
144,1932,1,pro
144,2069,1,pro
144,1955,1,pro
144,1933,1,pro
144,2050,1,pro
144,2063,1,pro
144,2071,1,pro
144,1965,1,pro
144,1954,1,pro
144,1925,1,pro
144,1937,1,pro
144,2061,1,pro
144,2064,1,pro
144,2074,1,con
144,1998,1,con
144,2065,1,con
144,2072,1,con
144,2076,1,con
144,2073,1,con
144,1979,1,con
144,1990,1,con
144,1992,1,con
144,1989,1,con
144,1995,1,con
144,1968,1,con
144,1991,1,con
144,1965,1,con
144,1978,1,con
144,1993,1,con
144,1977,1,con
144,7974,0,
144,931,0,
144,11028,0,
144,7975,0,
144,11042,0,
144,11045,0,
144,11069,0,
144,914,0,
144,7954,0,
144,11044,0,
144,7953,0,
144,7047,0,
144,927,0,
144,926,0,
144,923,0,
144,911,0,
144,953,0,
144,11046,0,
144,7078,0,
144,11075,0,
144,7959,0,
144,7093,0,
144,11029,0,
144,930,0,
144,11050,0,
144,11027,0,
144,7094,0,
144,11018,0,
144,7044,0,
144,960,0,
144,904,0,
144,11039,0,
144,10032,0,
144,7971,0,
144,7046,0,
144,11037,0,
144,961,0,
144,7066,0,
144,7095,0,
144,909,0,
144,11040,0,
144,7951,0,
144,7096,0,
144,7069,0,
149,4301,1,pro
149,4300,1,pro
149,4292,1,pro
149,4305,1,pro
149,4310,1,pro
149,4309,1,pro
149,4312,1,pro
149,4306,1,pro
149,4314,1,pro
149,4307,1,pro
149,4302,1,pro
149,4298,1,pro
149,4311,1,pro
149,4316,1,pro
149,4303,1,pro
149,4304,1,pro
149,4315,1,pro
149,4317,1,pro
149,4313,1,pro
149,4296,1,pro
149,4308,1,pro
149,4333,1,con
149,4329,1,con
149,4334,1,con
149,4293,1,con
149,4294,1,con
149,4332,1,con
149,4319,1,con
149,4328,1,con
149,4330,1,con
149,4327,1,con
149,4324,1,con
149,4331,1,con
149,4302,1,con
149,4321,1,con
149,4320,1,con
149,4326,1,con
149,4322,1,con
149,4335,1,con
149,4336,1,con
149,4325,1,con
149,4314,1,con
149,8538,0,
149,10638,0,
149,8447,0,
149,7143,0,
149,7150,0,
149,8505,0,
149,10632,0,
149,8507,0,
149,8528,0,
149,8504,0,
149,8533,0,
149,11743,0,
149,7149,0,
149,10563,0,
149,7139,0,
149,8527,0,
149,7160,0,
149,8458,0,
149,8457,0,
149,8435,0,
149,8460,0,
149,11738,0,
149,8453,0,
149,10575,0,
149,8444,0,
149,11728,0,
149,7158,0,
149,11737,0,
149,10639,0,
149,10585,0,
149,10572,0,
149,8434,0,
149,7140,0,
149,8440,0,
149,10573,0,
149,8450,0,
149,7146,0,
149,8448,0,
149,8436,0,
149,8537,0,
149,8511,0,
149,8525,0,
130,8812,1,pro
130,8840,1,pro
130,8924,1,pro
130,8811,1,pro
130,8804,1,pro
130,8803,1,pro
130,8802,1,pro
130,8805,1,pro
130,8816,1,pro
130,8821,1,pro
130,8830,1,pro
130,8839,1,pro
130,8841,1,pro
130,8820,1,pro
130,8838,1,pro
130,8922,1,pro
130,8823,1,pro
130,8817,1,pro
130,8806,1,pro
130,8825,1,pro
130,8835,1,pro
130,8810,1,pro
130,8813,1,pro
130,8809,1,pro
130,8818,1,pro
130,8827,1,pro
130,8829,1,pro
130,8808,1,pro
130,8814,1,pro
130,8831,1,pro
130,8834,1,pro
130,8815,1,pro
130,8837,1,pro
130,8826,1,pro
130,8828,1,pro
130,8833,1,pro
130,8824,1,pro
130,8921,1,pro
130,8836,1,pro
130,8807,1,pro
130,8819,1,pro
130,8876,1,con
130,8880,1,con
130,8870,1,con
130,8857,1,con
130,8851,1,con
130,8848,1,con
130,8863,1,con
130,8927,1,con
130,8849,1,con
130,8858,1,con
130,8865,1,con
130,8868,1,con
130,8861,1,con
130,8879,1,con
130,8872,1,con
130,8831,1,con
130,8928,1,con
130,8878,1,con
130,8874,1,con
130,8853,1,con
130,8862,1,con
130,8871,1,con
130,8852,1,con
130,8926,1,con
130,8850,1,con
130,8864,1,con
130,8854,1,con
130,8873,1,con
130,8846,1,con
130,8847,1,con
130,8860,1,con
130,8875,1,con
130,8869,1,con
130,8859,1,con
130,8866,1,con
130,11174,0,
130,11057,0,
130,11173,0,
130,11076,0,
130,11183,0,
130,11052,0,
130,11040,0,
130,11034,0,
130,8713,0,
130,11733,0,
130,11200,0,
130,8695,0,
130,11155,0,
130,11028,0,
130,11202,0,
130,11026,0,
130,11050,0,
130,11017,0,
130,11264,0,
130,11739,0,
130,11035,0,
130,8693,0,
130,11738,0,
130,11147,0,
130,11160,0,
130,11280,0,
130,10032,0,
130,8702,0,
130,9969,0,
130,11168,0,
130,11727,0,
130,8694,0,
130,11169,0,
130,9970,0,
130,11148,0,
130,11272,0,
130,11161,0,
130,10035,0,
130,11158,0,
130,8688,0,
130,8718,0,
130,11069,0,
130,11036,0,
130,11201,0,
130,11251,0,
130,11203,0,
130,10039,0,
130,10041,0,
130,11150,0,
130,11213,0,
130,11181,0,
130,11157,0,
130,11247,0,
130,8736,0,
130,11743,0,
130,11206,0,
130,11043,0,
130,8709,0,
130,11051,0,
130,11741,0,
130,11278,0,
130,8711,0,
130,10040,0,
130,11184,0,
130,11740,0,
130,11031,0,
130,11069,0,
130,11265,0,
130,8715,0,
130,10007,0,
130,11285,0,
130,11033,0,
130,11173,0,
130,8688,0,
130,11192,0,
130,11027,0,
34,6824,1,pro
34,6823,1,pro
34,6841,1,pro
34,6826,1,pro
34,6838,1,pro
34,6813,1,pro
34,6812,1,pro
34,6825,1,pro
34,6811,1,pro
34,6837,1,pro
34,6840,1,pro
34,6829,1,pro
34,6853,1,pro
34,6827,1,pro
34,6839,1,pro
34,6828,1,pro
34,6822,1,pro
34,6835,1,con
34,6832,1,con
34,6844,1,con
34,6851,1,con
34,6815,1,con
34,6846,1,con
34,6836,1,con
34,6833,1,con
34,6818,1,con
34,6820,1,con
34,6814,1,con
34,6817,1,con
34,6834,1,con
34,6845,1,con
34,6821,1,con
34,6816,1,con
34,6819,1,con
34,6831,1,con
34,4836,0,
34,8533,0,
34,9948,0,
34,9956,0,
34,8824,0,
34,8506,0,
34,8508,0,
34,8454,0,
34,8922,0,
34,8447,0,
34,4861,0,
34,8921,0,
34,4838,0,
34,8840,0,
34,4817,0,
34,8835,0,
34,8438,0,
34,8828,0,
34,4837,0,
34,4846,0,
34,8859,0,
34,8854,0,
34,8806,0,
34,9958,0,
34,9940,0,
34,8872,0,
34,4878,0,
34,8853,0,
34,4866,0,
34,4849,0,
34,8815,0,
34,8434,0,
34,8879,0,
34,4827,0,
34,8831,0,
145,1289,1,pro
145,1286,1,pro
145,1287,1,pro
145,1274,1,pro
145,1288,1,pro
145,1290,1,pro
145,1297,1,pro
145,1291,1,con
145,1281,1,con
145,1284,1,con
145,1283,1,con
145,1279,1,con
145,1282,1,con
145,1278,1,con
145,1276,1,con
145,1285,1,con
145,1218,0,
145,1222,0,
145,1220,0,
145,1227,0,
145,9887,0,
145,9958,0,
145,9931,0,
145,9897,0,
145,1233,0,
145,10789,0,
145,9959,0,
145,9950,0,
145,9903,0,
145,1208,0,
145,1232,0,
145,9919,0,
86,4854,1,pro
86,4820,1,pro
86,4811,1,pro
86,4852,1,pro
86,4866,1,pro
86,4860,1,pro
86,4815,1,pro
86,4822,1,pro
86,4818,1,pro
86,4836,1,pro
86,4838,1,pro
86,4817,1,pro
86,4824,1,pro
86,4835,1,pro
86,4837,1,pro
86,4861,1,pro
86,4816,1,pro
86,4831,1,con
86,4819,1,con
86,4865,1,con
86,4829,1,con
86,4847,1,con
86,4846,1,con
86,4849,1,con
86,4827,1,con
86,4833,1,con
86,4844,1,con
86,4867,1,con
86,4851,1,con
86,4834,1,con
86,4830,1,con
86,4825,1,con
86,4862,1,con
86,4848,1,con
86,11360,0,
86,7174,0,
86,11357,0,
86,7221,0,
86,8576,0,
86,925,0,
86,7195,0,
86,11349,0,
86,6410,0,
86,7201,0,
86,8567,0,
86,7173,0,
86,8560,0,
86,11343,0,
86,7179,0,
86,7178,0,
86,923,0,
86,8566,0,
86,8569,0,
86,11355,0,
86,7168,0,
86,8570,0,
86,8574,0,
86,7216,0,
86,8547,0,
86,6414,0,
86,11358,0,
86,11342,0,
86,11348,0,
86,6399,0,
86,8562,0,
86,911,0,
86,919,0,
86,11344,0,
74,5988,1,pro
74,5991,1,pro
74,5986,1,pro
74,5993,1,pro
74,5985,1,pro
74,5987,1,pro
74,5994,1,pro
74,5990,1,pro
74,5983,1,pro
74,5984,1,pro
74,6011,1,con
74,6008,1,con
74,5996,1,con
74,6010,1,con
74,6001,1,con
74,6005,1,con
74,6009,1,con
74,6004,1,con
74,6003,1,con
74,6002,1,con
74,5998,1,con
74,6000,1,con
74,5997,1,con
74,5999,1,con
74,9883,0,
74,6407,0,
74,6410,0,
74,9887,0,
74,6819,0,
74,7076,0,
74,10573,0,
74,6829,0,
74,10637,0,
74,7094,0,
74,10566,0,
74,6836,0,
74,6841,0,
74,6388,0,
74,7091,0,
74,10582,0,
74,7085,0,
74,7065,0,
74,7050,0,
74,7089,0,
74,6414,0,
74,6845,0,
74,6832,0,
74,10641,0,
69,7150,1,pro
69,7148,1,pro
69,7140,1,pro
69,7151,1,pro
69,7152,1,pro
69,7139,1,pro
69,7142,1,pro
69,7159,1,pro
69,7153,1,pro
69,7141,1,pro
69,7158,1,pro
69,7149,1,pro
69,7147,1,con
69,7155,1,con
69,7157,1,con
69,7160,1,con
69,7166,1,con
69,7165,1,con
69,7161,1,con
69,7158,1,con
69,7163,1,con
69,7164,1,con
69,7146,1,con
69,7143,1,con
69,7144,1,con
69,7167,1,con
69,7154,1,con
69,6521,0,
69,1364,0,
69,6530,0,
69,1349,0,
69,6526,0,
69,6492,0,
69,6000,0,
69,1359,0,
69,1394,0,
69,6516,0,
69,5998,0,
69,6001,0,
69,6566,0,
69,6522,0,
69,6528,0,
69,1379,0,
69,6002,0,
69,1288,0,
69,1376,0,
69,6493,0,
69,6564,0,
69,6534,0,
69,6008,0,
69,6003,0,
69,6517,0,
69,6567,0,
69,5991,0,
136,1359,1,pro
136,1358,1,pro
136,1351,1,pro
136,1350,1,pro
136,1349,1,pro
136,1352,1,pro
136,1363,1,pro
136,1367,1,pro
136,1364,1,pro
136,1353,1,pro
136,1372,1,pro
136,1382,1,pro
136,1357,1,pro
136,1360,1,pro
136,1365,1,pro
136,1369,1,pro
136,1361,1,pro
136,1384,1,pro
136,1401,1,pro
136,1393,1,pro
136,1383,1,pro
136,1354,1,pro
136,1366,1,pro
136,1374,1,con
136,1376,1,con
136,1379,1,con
136,1395,1,con
136,1385,1,con
136,1380,1,con
136,1387,1,con
136,1377,1,con
136,1378,1,con
136,1394,1,con
136,1381,1,con
